female_family	male_family	male_rep_number	male_family_number	male_plant_number	date	number_of_GFP_kernels	number_of_WT_kernels	AC_present_in_parent	exclude_from_final_dataset	expression_category_a	MP_2017_FPKM_rank	SC_2017_FPKM_rank	seedling_2014_FPKM_rank	genetic_background	marker	not_HVY	allele	v3_gene	v4_gene
402	466-5	m3	466	5	8/22	194	202	0	FALSE	vegetative_cell_high	22	13	23	1	1	0	R77F09	GRMZM2G142249	Zm00001d032279
400	466L-2	m1	466	2	9/7	178	155	0	FALSE	vegetative_cell_high	22	13	23	1	1	1	R77F09	GRMZM2G142249	Zm00001d032279
403	486-1	m1	486	1	8/16	216	223	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
403	486-1	m2	486	1	8/15	187	188	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-2	m1	486	2	8/19	303	282	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-2	m2	486	2	8/18	205	202	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-2	m3	486	2	8/20	243	303	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	486-3	m1	486	3	-	186	165	0	FALSE	vegetative_cell_high	28	19	26	2	1	0	R04G10	GRMZM2G114093	Zm00001d032310
402	418-1	m1	418	1	8/17	162	255	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
402	418-1	m2	418	1	8/18	238	270	0	FALSE	vegetative_cell_high	25	27	3	1	1	0	R04A02	GRMZM2G359879	Zm00001d028437
